,Unnamed: 0,TOKEN,GROUP#1,GROUP#2,TIME,variable,value,choice_let,situation,alt1.discount,alt2.discount,alt3.discount,Block,alt1.a_0,alt1.a_1,alt1.a_2,alt1.a_3,alt1.a_4,alt1.b_0,alt1.b_1,alt1.b_2,alt1.c_0,alt1.c_1,alt1.c_2,alt1.d_0,alt1.d_1,alt1.d_2,alt1.d_3,alt2.a_0,alt2.a_1,alt2.a_2,alt2.a_3,alt2.a_4,alt2.b_0,alt2.b_1,alt2.b_2,alt2.c_0,alt2.c_1,alt2.c_2,alt2.d_0,alt2.d_1,alt2.d_2,alt2.d_3,alt3.a_0,alt3.a_1,alt3.a_2,alt3.a_3,alt3.a_4,alt3.b_0,alt3.b_1,alt3.b_2,alt3.c_0,alt3.c_1,alt3.c_2,alt3.d_0,alt3.d_1,alt3.d_2,alt3.d_3,asc.4,alt4.a_0,alt4.b_0,alt4.c_0,alt4.d_0,alt4.a_1,alt4.a_2,alt4.a_3,alt4.a_4,alt4.b_1,alt4.b_2,alt4.c_1,alt4.c_2,alt4.d_1,alt4.d_2,alt4.d_3,alt4.discount,alt1.discount_log,alt2.discount_log,alt3.discount_log,alt4.discount_log,choice
10,238,01150f38-b565-4c5c-b4b3-92df5cb615a5,Z RODO,Blok 1,00:02:58.837177,"(3)(1,1,1,1,2) n Opcja B",1.0,B,3,9,9,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,2.1972245773362196,1.0986122886681098,0.0,2
11,357,01150f38-b565-4c5c-b4b3-92df5cb615a5,Z RODO,Blok 1,00:02:58.837177,"(4)(3,0,2,1,2) n Opcja B",1.0,B,4,12,9,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004,2.1972245773362196,1.0986122886681098,0.0,2
12,476,01150f38-b565-4c5c-b4b3-92df5cb615a5,Z RODO,Blok 1,00:02:58.837177,"(5)(1,1,2,3,3) n Opcja B",1.0,B,5,3,12,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,2.4849066497880004,1.0986122886681098,0.0,2
13,595,01150f38-b565-4c5c-b4b3-92df5cb615a5,Z RODO,Blok 1,00:02:58.837177,"(6)(3,1,0,2,2) n Opcja A",1.0,A,6,9,3,9,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.0986122886681098,2.1972245773362196,0.0,1
14,714,01150f38-b565-4c5c-b4b3-92df5cb615a5,Z RODO,Blok 1,00:02:58.837177,"(7)(0,1,0,2,0) n Opcja A",1.0,A,7,3,6,12,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.791759469228055,2.4849066497880004,0.0,1
15,833,01150f38-b565-4c5c-b4b3-92df5cb615a5,Z RODO,Blok 1,00:02:58.837177,"(8)(2,1,2,0,1) n Opcja B",1.0,B,8,3,6,9,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.791759469228055,2.1972245773362196,0.0,2
16,1,015f3264-45b5-46ee-aa6b-d97c7f7b3931,BEZ RODO,Blok 1,00:24:58.098318,"(1)(2,2,0,0,2) n Opcja C",1.0,C,1,3,3,9,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,2.1972245773362196,0.0,3
17,120,015f3264-45b5-46ee-aa6b-d97c7f7b3931,BEZ RODO,Blok 1,00:24:58.098318,"(2)(1,2,0,1,0) n Opcja C",1.0,C,2,9,3,3,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.0986122886681098,1.0986122886681098,0.0,3
18,239,015f3264-45b5-46ee-aa6b-d97c7f7b3931,BEZ RODO,Blok 1,00:24:58.098318,"(3)(4,1,0,0,0) n Opcja C",1.0,C,3,9,9,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,2.1972245773362196,1.0986122886681098,0.0,3
19,358,015f3264-45b5-46ee-aa6b-d97c7f7b3931,BEZ RODO,Blok 1,00:24:58.098318,"(4)(4,2,1,2,3) n Opcja A",1.0,A,4,12,9,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004,2.1972245773362196,1.0986122886681098,0.0,1
20,477,015f3264-45b5-46ee-aa6b-d97c7f7b3931,BEZ RODO,Blok 1,00:24:58.098318,"(5)(2,0,0,1,0) n Opcja A",1.0,A,5,3,12,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,2.4849066497880004,1.0986122886681098,0.0,1
21,596,015f3264-45b5-46ee-aa6b-d97c7f7b3931,BEZ RODO,Blok 1,00:24:58.098318,(6)(-) n Opcja bez rabatu: 30zł,1.0,SQ,6,9,3,9,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.0986122886681098,2.1972245773362196,0.0,4
22,715,015f3264-45b5-46ee-aa6b-d97c7f7b3931,BEZ RODO,Blok 1,00:24:58.098318,(7)(-) n Opcja bez rabatu: 30zł,1.0,SQ,7,3,6,12,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.791759469228055,2.4849066497880004,0.0,4
23,834,015f3264-45b5-46ee-aa6b-d97c7f7b3931,BEZ RODO,Blok 1,00:24:58.098318,"(8)(0,2,1,2,0) n Opcja A",1.0,A,8,3,6,9,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.791759469228055,2.1972245773362196,0.0,1
24,2,02f05fcb-0ac0-47fe-9904-8e1d34013a5e,Z RODO,Blok 1,00:02:26.757737,(1)(-) n Opcja bez rabatu: 30zł,1.0,SQ,1,3,3,9,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,2.1972245773362196,0.0,4
25,121,02f05fcb-0ac0-47fe-9904-8e1d34013a5e,Z RODO,Blok 1,00:02:26.757737,(2)(-) n Opcja bez rabatu: 30zł,1.0,SQ,2,9,3,3,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.0986122886681098,1.0986122886681098,0.0,4
26,240,02f05fcb-0ac0-47fe-9904-8e1d34013a5e,Z RODO,Blok 1,00:02:26.757737,(3)(-) n Opcja bez rabatu: 30zł,1.0,SQ,3,9,9,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,2.1972245773362196,1.0986122886681098,0.0,4
27,359,02f05fcb-0ac0-47fe-9904-8e1d34013a5e,Z RODO,Blok 1,00:02:26.757737,(4)(-) n Opcja bez rabatu: 30zł,1.0,SQ,4,12,9,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004,2.1972245773362196,1.0986122886681098,0.0,4
28,478,02f05fcb-0ac0-47fe-9904-8e1d34013a5e,Z RODO,Blok 1,00:02:26.757737,(5)(-) n Opcja bez rabatu: 30zł,1.0,SQ,5,3,12,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,2.4849066497880004,1.0986122886681098,0.0,4
29,597,02f05fcb-0ac0-47fe-9904-8e1d34013a5e,Z RODO,Blok 1,00:02:26.757737,(6)(-) n Opcja bez rabatu: 30zł,1.0,SQ,6,9,3,9,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.0986122886681098,2.1972245773362196,0.0,4
30,716,02f05fcb-0ac0-47fe-9904-8e1d34013a5e,Z RODO,Blok 1,00:02:26.757737,(7)(-) n Opcja bez rabatu: 30zł,1.0,SQ,7,3,6,12,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.791759469228055,2.4849066497880004,0.0,4
31,835,02f05fcb-0ac0-47fe-9904-8e1d34013a5e,Z RODO,Blok 1,00:02:26.757737,(8)(-) n Opcja bez rabatu: 30zł,1.0,SQ,8,3,6,9,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.791759469228055,2.1972245773362196,0.0,4
0,0,038843da-c750-4d8c-b9b2-981ac0208d9e,Z RODO,Blok 1,00:07:29.188306,"(1)(0,2,1,0,3) n Opcja A",1.0,A,1,12,12,6,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004,2.4849066497880004,1.791759469228055,0.0,1
1,23,038843da-c750-4d8c-b9b2-981ac0208d9e,Z RODO,Blok 1,00:07:29.188306,"(2)(2,1,2,3,3) n Opcja C",1.0,C,2,3,6,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,False,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.791759469228055,2.4849066497880004,0.0,3
2,46,038843da-c750-4d8c-b9b2-981ac0208d9e,Z RODO,Blok 1,00:07:29.188306,"(3)(4,0,1,2,2) n Opcja C",1.0,C,3,6,6,9,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,True,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469228055,1.791759469228055,2.1972245773362196,0.0,3
3,69,038843da-c750-4d8c-b9b2-981ac0208d9e,Z RODO,Blok 1,00:07:29.188306,"(4)(0,0,2,1,3) n Opcja C",1.0,C,4,9,3,12,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,False,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.0986122886681098,2.4849066497880004,0.0,3
4,92,038843da-c750-4d8c-b9b2-981ac0208d9e,Z RODO,Blok 1,00:07:29.188306,"(5)(0,2,1,3,2) n Opcja C",1.0,C,5,6,9,9,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,False,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469228055,2.1972245773362196,2.1972245773362196,0.0,3
5,115,038843da-c750-4d8c-b9b2-981ac0208d9e,Z RODO,Blok 1,00:07:29.188306,"(6)(0,0,0,1,3) n Opcja B",1.0,B,6,3,12,3,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,False,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,2.4849066497880004,1.0986122886681098,0.0,2
6,138,038843da-c750-4d8c-b9b2-981ac0208d9e,Z RODO,Blok 1,00:07:29.188306,"(7)(1,0,0,1,3) n Opcja A",1.0,A,7,12,3,6,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,False,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004,1.0986122886681098,1.791759469228055,0.0,1
7,161,038843da-c750-4d8c-b9b2-981ac0208d9e,Z RODO,Blok 1,00:07:29.188306,"(8)(0,0,2,1,2) n Opcja A",1.0,A,8,9,9,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,True,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,2.1972245773362196,1.0986122886681098,0.0,1
32,1,0496baa9-2df6-43e0-b105-843d45826273,BEZ RODO,Blok 2,00:07:16.661618,"(1)(2,0,1,0,0) n Opcja C",1.0,C,1,9,6,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.791759469228055,1.0986122886681098,0.0,3
33,128,0496baa9-2df6-43e0-b105-843d45826273,BEZ RODO,Blok 2,00:07:16.661618,"(2)(4,1,2,1,3) n Opcja B",1.0,B,2,9,12,3,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,2.4849066497880004,1.0986122886681098,0.0,2
34,255,0496baa9-2df6-43e0-b105-843d45826273,BEZ RODO,Blok 2,00:07:16.661618,"(3)(4,2,1,1,0) n Opcja B",1.0,B,3,3,3,12,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,2.4849066497880004,0.0,2
35,382,0496baa9-2df6-43e0-b105-843d45826273,BEZ RODO,Blok 2,00:07:16.661618,"(4)(1,1,1,3,0) n Opcja B",1.0,B,4,3,3,9,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,2.1972245773362196,0.0,2
36,509,0496baa9-2df6-43e0-b105-843d45826273,BEZ RODO,Blok 2,00:07:16.661618,"(5)(3,1,1,1,2) n Opcja C",1.0,C,5,6,9,9,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469228055,2.1972245773362196,2.1972245773362196,0.0,3
37,636,0496baa9-2df6-43e0-b105-843d45826273,BEZ RODO,Blok 2,00:07:16.661618,"(6)(3,1,2,1,0) n Opcja A",1.0,A,6,3,9,12,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,2.1972245773362196,2.4849066497880004,0.0,1
38,763,0496baa9-2df6-43e0-b105-843d45826273,BEZ RODO,Blok 2,00:07:16.661618,"(7)(2,1,1,2,2) n Opcja A",1.0,A,7,9,3,3,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.0986122886681098,1.0986122886681098,0.0,1
39,890,0496baa9-2df6-43e0-b105-843d45826273,BEZ RODO,Blok 2,00:07:16.661618,"(8)(3,1,0,3,0) n Opcja B",1.0,B,8,6,3,12,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469228055,1.0986122886681098,2.4849066497880004,0.0,2
40,2,05154df0-c3a6-4527-807c-bdcf8089f2c4,BEZ RODO,Blok 2,00:02:25.762262,"(1)(3,0,0,2,1) n Opcja B",1.0,B,1,9,6,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,1.791759469228055,1.0986122886681098,0.0,2
41,129,05154df0-c3a6-4527-807c-bdcf8089f2c4,BEZ RODO,Blok 2,00:02:25.762262,"(2)(4,1,2,1,3) n Opcja B",1.0,B,2,9,12,3,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196,2.4849066497880004,1.0986122886681098,0.0,2
42,256,05154df0-c3a6-4527-807c-bdcf8089f2c4,BEZ RODO,Blok 2,00:02:25.762262,"(3)(4,2,1,1,0) n Opcja B",1.0,B,3,3,3,12,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,2.4849066497880004,0.0,2
